"country"	"code"
"AD"	"AD-02"
"AD"	"AD-03"
"AD"	"AD-04"
"AD"	"AD-05"
"AD"	"AD-06"
"AD"	"AD-07"
"AD"	"AD-08"
"AE"	"AE-AJ"
"AE"	"AE-AZ"
"AE"	"AE-DU"
"AE"	"AE-FU"
"AE"	"AE-RK"
"AE"	"AE-SH"
"AE"	"AE-UQ"
"AF"	"AF-BAL"
"AF"	"AF-BAM"
"AF"	"AF-BDG"
"AF"	"AF-BDS"
"AF"	"AF-BGL"
"AF"	"AF-DAY"
"AF"	"AF-FRA"
"AF"	"AF-FYB"
"AF"	"AF-GHA"
"AF"	"AF-GHO"
"AF"	"AF-HEL"
"AF"	"AF-HER"
"AF"	"AF-JOW"
"AF"	"AF-KAB"
"AF"	"AF-KAN"
"AF"	"AF-KAP"
"AF"	"AF-KDZ"
"AF"	"AF-KHO"
"AF"	"AF-KNR"
"AF"	"AF-LAG"
"AF"	"AF-LOG"
"AF"	"AF-NAN"
"AF"	"AF-NIM"
"AF"	"AF-NUR"
"AF"	"AF-PAN"
"AF"	"AF-PAR"
"AF"	"AF-PIA"
"AF"	"AF-PKA"
"AF"	"AF-SAM"
"AF"	"AF-SAR"
"AF"	"AF-TAK"
"AF"	"AF-URU"
"AF"	"AF-WAR"
"AF"	"AF-ZAB"
"AG"	"AG-03"
"AG"	"AG-04"
"AG"	"AG-05"
"AG"	"AG-06"
"AG"	"AG-07"
"AG"	"AG-08"
"AG"	"AG-10"
"AG"	"AG-11"
"AL"	"AL-01"
"AL"	"AL-02"
"AL"	"AL-03"
"AL"	"AL-04"
"AL"	"AL-05"
"AL"	"AL-06"
"AL"	"AL-07"
"AL"	"AL-08"
"AL"	"AL-09"
"AL"	"AL-10"
"AL"	"AL-11"
"AL"	"AL-12"
"AM"	"AM-AG"
"AM"	"AM-AR"
"AM"	"AM-AV"
"AM"	"AM-ER"
"AM"	"AM-GR"
"AM"	"AM-KT"
"AM"	"AM-LO"
"AM"	"AM-SH"
"AM"	"AM-SU"
"AM"	"AM-TV"
"AM"	"AM-VD"
"AO"	"AO-BGO"
"AO"	"AO-BGU"
"AO"	"AO-BIE"
"AO"	"AO-CAB"
"AO"	"AO-CCU"
"AO"	"AO-CNN"
"AO"	"AO-CNO"
"AO"	"AO-CUS"
"AO"	"AO-HUA"
"AO"	"AO-HUI"
"AO"	"AO-LNO"
"AO"	"AO-LSU"
"AO"	"AO-LUA"
"AO"	"AO-MAL"
"AO"	"AO-MOX"
"AO"	"AO-NAM"
"AO"	"AO-UIG"
"AO"	"AO-ZAI"
"AR"	"AR-A"
"AR"	"AR-B"
"AR"	"AR-C"
"AR"	"AR-D"
"AR"	"AR-E"
"AR"	"AR-F"
"AR"	"AR-G"
"AR"	"AR-H"
"AR"	"AR-J"
"AR"	"AR-K"
"AR"	"AR-L"
"AR"	"AR-M"
"AR"	"AR-N"
"AR"	"AR-P"
"AR"	"AR-Q"
"AR"	"AR-R"
"AR"	"AR-S"
"AR"	"AR-T"
"AR"	"AR-U"
"AR"	"AR-V"
"AR"	"AR-W"
"AR"	"AR-X"
"AR"	"AR-Y"
"AR"	"AR-Z"
"AT"	"AT-1"
